user_id,nome,email,estado,data_cadastro
1,Usuario_1,usuario_1@email.com,RJ,2026-04-23
2,Usuario_2,usuario_2@email.com,SP,2026-04-15
3,Usuario_3,usuario_3@email.com,PR,2025-11-18
4,Usuario_4,usuario_4@email.com,RS,2025-11-22
5,Usuario_5,usuario_5@email.com,RS,2025-10-12
6,Usuario_6,usuario_6@email.com,MG,2026-01-07
7,Usuario_7,usuario_7@email.com,RJ,2026-06-30
8,Usuario_8,usuario_8@email.com,CE,2026-01-29
9,Usuario_9,usuario_9@email.com,RJ,2025-12-13
10,Usuario_10,usuario_10@email.com,GO,2026-01-10
11,Usuario_11,usuario_11@email.com,SC,2026-03-22
12,Usuario_12,usuario_12@email.com,SP,2026-03-28
13,Usuario_13,usuario_13@email.com,SP,2025-12-06
14,Usuario_14,usuario_14@email.com,RJ,2025-12-10
15,Usuario_15,usuario_15@email.com,RS,2026-03-05
16,Usuario_16,usuario_16@email.com,RS,2026-01-24
17,Usuario_17,usuario_17@email.com,CE,2026-04-03
18,Usuario_18,usuario_18@email.com,GO,2026-06-10
19,Usuario_19,usuario_19@email.com,SP,2025-09-22
20,Usuario_20,usuario_20@email.com,CE,2026-05-15
21,Usuario_21,usuario_21@email.com,RS,2025-11-26
22,Usuario_22,usuario_22@email.com,CE,2026-03-02
23,Usuario_23,usuario_23@email.com,SC,2026-05-18
24,Usuario_24,usuario_24@email.com,RS,2026-02-16
25,Usuario_25,usuario_25@email.com,PE,2026-08-23
26,Usuario_26,usuario_26@email.com,GO,2026-04-05
27,Usuario_27,usuario_27@email.com,PR,2026-01-15
28,Usuario_28,usuario_28@email.com,SP,2025-09-18
29,Usuario_29,usuario_29@email.com,MG,2026-03-03
30,Usuario_30,usuario_30@email.com,SC,2026-03-01
31,Usuario_31,usuario_31@email.com,BA,2025-10-10
32,Usuario_32,usuario_32@email.com,PR,2025-10-16
33,Usuario_33,usuario_33@email.com,MG,2026-06-29
34,Usuario_34,usuario_34@email.com,RS,2026-01-04
35,Usuario_35,usuario_35@email.com,BA,2026-08-27
36,Usuario_36,usuario_36@email.com,RJ,2026-07-12
37,Usuario_37,usuario_37@email.com,RJ,2025-12-31
38,Usuario_38,usuario_38@email.com,SC,2025-11-16
39,Usuario_39,usuario_39@email.com,RJ,2026-03-29
40,Usuario_40,usuario_40@email.com,BA,2026-07-25
41,Usuario_41,usuario_41@email.com,BA,2026-02-01
42,Usuario_42,usuario_42@email.com,GO,2026-07-25
43,Usuario_43,usuario_43@email.com,PR,2025-12-19
44,Usuario_44,usuario_44@email.com,SP,2026-01-24
45,Usuario_45,usuario_45@email.com,PE,2026-09-07
46,Usuario_46,usuario_46@email.com,CE,2026-07-03
47,Usuario_47,usuario_47@email.com,RJ,2026-02-17
48,Usuario_48,usuario_48@email.com,SC,2025-10-14
49,Usuario_49,usuario_49@email.com,RJ,2026-06-27
50,Usuario_50,usuario_50@email.com,CE,2026-08-07
51,Usuario_51,usuario_51@email.com,PR,2026-01-17
52,Usuario_52,usuario_52@email.com,GO,2026-05-02
53,Usuario_53,usuario_53@email.com,BA,2026-03-25
54,Usuario_54,usuario_54@email.com,GO,2025-10-30
55,Usuario_55,usuario_55@email.com,RS,2025-09-25
56,Usuario_56,usuario_56@email.com,RJ,2026-02-23
57,Usuario_57,usuario_57@email.com,SP,2025-10-17
58,Usuario_58,usuario_58@email.com,RS,2026-08-04
59,Usuario_59,usuario_59@email.com,PR,2026-03-30
60,Usuario_60,usuario_60@email.com,RJ,2025-10-04
61,Usuario_61,usuario_61@email.com,RS,2025-12-15
62,Usuario_62,usuario_62@email.com,RJ,2026-03-04
63,Usuario_63,usuario_63@email.com,SC,2026-04-05
64,Usuario_64,usuario_64@email.com,PR,2025-10-29
